nohup: ignoring input
t=2026-08-27T21:07:04+0000 lvl=info msg="no configuration paths supplied"
t=2026-08-27T21:07:04+0000 lvl=info msg="using configuration at default config path" path=/data/data/com.termux/files/home/.config/ngrok/ngrok.yml
t=2026-08-27T21:07:04+0000 lvl=info msg="open config file" path=/data/data/com.termux/files/home/.config/ngrok/ngrok.yml err=<nil>
t=2026-08-27T21:07:04+0000 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-08-27T21:07:04+0000 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-08-27T21:07:05+0000 lvl=warn msg="failed to check for update" obj=updater err="Post \"https://update.ngrok-agent.com/check\": tls: failed to verify certificate: x509: certificate signed by unknown authority"
t=2026-08-27T21:07:06+0000 lvl=info msg="client session established" obj=tunnels.session
t=2026-08-27T21:07:06+0000 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-08-27T21:16:39+0000 lvl=info msg="join connections" obj=join id=1c575aec7b1a l=127.0.0.1:3000 r=15.204.11.112:58778
t=2026-08-27T21:16:39+0000 lvl=info msg="join connections" obj=join id=75bcf92ca195 l=127.0.0.1:3000 r=15.204.11.112:58778
t=2026-08-27T21:16:39+0000 lvl=info msg="join connections" obj=join id=64bc1511df30 l=127.0.0.1:3000 r=104.248.243.0:42086
t=2026-08-27T21:16:40+0000 lvl=info msg="join connections" obj=join id=8e2d6c2d8cb0 l=127.0.0.1:3000 r=104.248.243.0:42086
t=2026-08-27T21:16:40+0000 lvl=info msg="join connections" obj=join id=f03a58aee053 l=127.0.0.1:3000 r=104.248.243.0:42086
t=2026-08-27T21:16:44+0000 lvl=info msg="join connections" obj=join id=d36be69c5c50 l=127.0.0.1:3000 r=15.204.11.112:58778
t=2026-08-27T21:16:44+0000 lvl=info msg="join connections" obj=join id=c98747a21d0c l=127.0.0.1:3000 r=15.204.11.112:58778
t=2026-08-27T21:16:45+0000 lvl=info msg="join connections" obj=join id=77eee5568986 l=127.0.0.1:3000 r=104.248.243.0:42086
t=2026-08-27T21:16:45+0000 lvl=info msg="join connections" obj=join id=2cfbd3ff1baa l=127.0.0.1:3000 r=104.248.243.0:42086
t=2026-08-27T21:16:45+0000 lvl=info msg="join connections" obj=join id=aa1124ade74a l=127.0.0.1:3000 r=15.204.11.112:58778
t=2026-08-27T21:16:46+0000 lvl=info msg="join connections" obj=join id=c853c293c07c l=127.0.0.1:3000 r=104.248.243.0:42086
t=2026-08-27T21:16:46+0000 lvl=info msg="join connections" obj=join id=8e7c4de5cedb l=127.0.0.1:3000 r=15.204.11.112:58778
t=2026-08-27T21:16:46+0000 lvl=info msg="join connections" obj=join id=5fff246987c0 l=127.0.0.1:3000 r=104.248.243.0:42086
t=2026-08-27T21:16:50+0000 lvl=info msg="join connections" obj=join id=369a28ad31d0 l=127.0.0.1:3000 r=104.248.243.0:42086
t=2026-08-27T21:16:53+0000 lvl=info msg="join connections" obj=join id=f73b1fd27237 l=127.0.0.1:3000 r=15.204.11.112:58094
t=2026-08-27T21:16:55+0000 lvl=info msg="join connections" obj=join id=7c7e918c272e l=127.0.0.1:3000 r=15.204.11.112:58094
t=2026-08-27T21:17:04+0000 lvl=info msg="join connections" obj=join id=47d5a12f8c72 l=127.0.0.1:3000 r=104.248.243.0:42086
t=2026-08-27T21:17:09+0000 lvl=info msg="join connections" obj=join id=2087b0c66c15 l=127.0.0.1:3000 r=15.204.11.112:58094
t=2026-08-27T21:17:14+0000 lvl=info msg="join connections" obj=join id=c19698ccb7ea l=127.0.0.1:3000 r=104.248.243.0:46750
t=2026-08-27T21:17:14+0000 lvl=info msg="join connections" obj=join id=7a5b2be09968 l=127.0.0.1:3000 r=104.248.243.0:46750
t=2026-08-27T21:17:15+0000 lvl=info msg="join connections" obj=join id=bb36c5371188 l=127.0.0.1:3000 r=104.248.243.0:46750
t=2026-08-27T21:17:21+0000 lvl=info msg="join connections" obj=join id=117f4e0bba48 l=127.0.0.1:3000 r=104.248.243.0:46750
t=2026-08-27T21:17:21+0000 lvl=info msg="join connections" obj=join id=74e8869916cc l=127.0.0.1:3000 r=15.204.11.112:57328
t=2026-08-27T21:17:21+0000 lvl=info msg="join connections" obj=join id=bbe4226fb3bc l=127.0.0.1:3000 r=15.204.11.112:57328
t=2026-08-27T21:17:21+0000 lvl=info msg="join connections" obj=join id=153ca0d6990c l=127.0.0.1:3000 r=15.204.11.112:57328
t=2026-08-27T21:17:34+0000 lvl=info msg="join connections" obj=join id=fa6c98441de1 l=127.0.0.1:3000 r=15.204.11.112:57328
t=2026-08-27T21:17:46+0000 lvl=info msg="join connections" obj=join id=0baa233809c8 l=127.0.0.1:3000 r=104.248.243.0:46750
t=2026-08-27T21:17:49+0000 lvl=info msg="join connections" obj=join id=0a8d5dd04dc3 l=127.0.0.1:3000 r=15.204.11.112:57328
t=2026-08-27T21:17:56+0000 lvl=info msg="join connections" obj=join id=0fdd05844491 l=127.0.0.1:3000 r=104.248.243.0:46750
t=2026-08-27T21:18:03+0000 lvl=info msg="join connections" obj=join id=9e560daae042 l=127.0.0.1:3000 r=15.204.11.112:57328
t=2026-08-27T21:18:04+0000 lvl=info msg="join connections" obj=join id=a2f8de7bad00 l=127.0.0.1:3000 r=104.248.243.0:46750
t=2026-08-27T21:18:10+0000 lvl=info msg="join connections" obj=join id=bdea10430080 l=127.0.0.1:3000 r=15.204.11.112:57328
t=2026-08-27T21:18:13+0000 lvl=info msg="join connections" obj=join id=240bb5b5fe5f l=127.0.0.1:3000 r=104.248.243.0:46750
t=2026-08-27T21:18:17+0000 lvl=info msg="join connections" obj=join id=3553757a8553 l=127.0.0.1:3000 r=15.204.11.112:57328
t=2026-08-27T21:18:18+0000 lvl=info msg="join connections" obj=join id=02f8004364f1 l=127.0.0.1:3000 r=15.204.11.112:57328
t=2026-08-27T21:18:18+0000 lvl=info msg="join connections" obj=join id=4f381fc8e768 l=127.0.0.1:3000 r=15.204.11.112:57328
t=2026-08-27T21:18:19+0000 lvl=info msg="join connections" obj=join id=89f62bc576db l=127.0.0.1:3000 r=15.204.11.112:57328
t=2026-08-27T21:18:19+0000 lvl=info msg="join connections" obj=join id=a0821334f4f2 l=127.0.0.1:3000 r=104.248.243.0:46750
t=2026-08-27T21:18:22+0000 lvl=info msg="join connections" obj=join id=7fd6e6e9f7cd l=127.0.0.1:3000 r=104.248.243.0:49976
t=2026-08-27T21:18:23+0000 lvl=info msg="join connections" obj=join id=8e5b87f01b9b l=127.0.0.1:3000 r=104.248.243.0:49976
t=2026-08-27T21:18:25+0000 lvl=info msg="join connections" obj=join id=d6841ad8574e l=127.0.0.1:3000 r=15.204.11.112:57328
t=2026-08-27T21:18:33+0000 lvl=info msg="join connections" obj=join id=e563b3253f5d l=127.0.0.1:3000 r=15.204.187.247:26123
t=2026-08-27T21:18:34+0000 lvl=info msg="join connections" obj=join id=6d4bf0d121cc l=127.0.0.1:3000 r=15.204.11.112:57328
t=2026-08-27T21:18:37+0000 lvl=info msg="join connections" obj=join id=93903f86451d l=127.0.0.1:3000 r=104.248.243.0:49976
t=2026-08-27T21:18:37+0000 lvl=info msg="join connections" obj=join id=a4886f6ec224 l=127.0.0.1:3000 r=104.248.243.0:49976
t=2026-08-27T21:18:38+0000 lvl=info msg="join connections" obj=join id=39567599c746 l=127.0.0.1:3000 r=15.204.11.112:57328
t=2026-08-27T21:18:39+0000 lvl=info msg="join connections" obj=join id=16999052a6b8 l=127.0.0.1:3000 r=104.248.243.0:49976
t=2026-08-27T21:18:40+0000 lvl=info msg="join connections" obj=join id=4f8ae47af782 l=127.0.0.1:3000 r=104.248.243.0:49976
t=2026-08-27T21:18:41+0000 lvl=info msg="join connections" obj=join id=28757420a082 l=127.0.0.1:3000 r=15.204.11.112:57328
t=2026-08-27T21:18:41+0000 lvl=info msg="join connections" obj=join id=4970a662da1e l=127.0.0.1:3000 r=15.204.11.112:57328
t=2026-08-27T21:18:42+0000 lvl=info msg="join connections" obj=join id=ffecc8730135 l=127.0.0.1:3000 r=104.248.243.0:49976
t=2026-08-27T21:18:43+0000 lvl=info msg="join connections" obj=join id=6f7e73ef6cd7 l=127.0.0.1:3000 r=104.248.243.0:49976
t=2026-08-27T21:18:45+0000 lvl=info msg="join connections" obj=join id=7232e326f973 l=127.0.0.1:3000 r=15.204.187.247:26123
t=2026-08-27T21:18:47+0000 lvl=info msg="join connections" obj=join id=2d541f3871f9 l=127.0.0.1:3000 r=104.248.243.0:49976
t=2026-08-27T21:18:49+0000 lvl=info msg="join connections" obj=join id=970e2c39cb4f l=127.0.0.1:3000 r=104.248.243.0:47340
t=2026-08-27T21:18:49+0000 lvl=info msg="join connections" obj=join id=8640f7de769c l=127.0.0.1:3000 r=104.248.243.0:47340
t=2026-08-27T21:18:49+0000 lvl=info msg="join connections" obj=join id=3aa42e65473a l=127.0.0.1:3000 r=104.248.243.0:47340
t=2026-08-27T21:18:50+0000 lvl=info msg="join connections" obj=join id=e1ef70e1f0e1 l=127.0.0.1:3000 r=15.204.11.112:40832
